folder,id,display_name,description,type,units,domain,labels,calculation,commonly_used,forms
Physiologic Measurements/Cardiovascular Assessments/Echocardiography,v1ph,Pulmonary Hypertention at Visit 1 (baseline),PAH >= 35 is classified as Pulmonary Hypertension ,choices,"",yes_no,"","","",""
Physiologic Measurements/Cardiovascular Assessments/Echocardiography,v1pmaxtv,Tricuspid Valve Maximum pressure  at Visit 1(baseline),"",numeric,millimeters of mercury (mmHg),"","","","",""
Physiologic Measurements/Cardiovascular Assessments/Echocardiography,v1rwt,Relative Wall Thickness (RWT) at Visit 1 (baseline),"",numeric,"","","",(2*LVPW)/LVDD,"",""
Physiologic Measurements/Cardiovascular Assessments/Echocardiography,v1rwtpathologic,Pathologic RWT at Visit 1 (baseline),"RWT > 0.43 is considered pathologic, indicates concentric remodeling or hypertrophy",choices,"",yes_no,"","","",""
Physiologic Measurements/Cardiovascular Assessments/Echocardiography,v1tricuspidinsuff,Tricuspid insufficiency at Visit 1(baseline),"",choices,"",yes_no,"","","",""
Physiologic Measurements/Cardiovascular Assessments/Echocardiography,v1vmaxtv,Tricuspid Valve Maximum Velocity at Visit 1(baseline),"",numeric,meters per second (m/s),"","","","",""
Physiologic Measurements/Cardiovascular Assessments/Echocardiography,v2a,A-Wave (atrial contraction) at Visit 2 (3-month follow-up),"",numeric,"","","","","",""
Physiologic Measurements/Cardiovascular Assessments/Echocardiography,v2concentrichypertrophy,Concentric Hypertrophy at Visit 2 (3-month follow-up),"",choices,"",yes_no,"","","",""
Physiologic Measurements/Cardiovascular Assessments/Echocardiography,v2dt,Deceleration time at Visit 2 (3-month follow-up),"",numeric,milliseconds (ms),"","","","",""
Physiologic Measurements/Cardiovascular Assessments/Echocardiography,v2e,E-Wave (early rapid filling) at Visit 2 (3-month follow-up),"",numeric,"","","","","",""
Physiologic Measurements/Cardiovascular Assessments/Echocardiography,v2ea,E/A Ratio at Visit 2 (3-month follow-up),"",numeric,"","","","","",""
